,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
601,2329.0,TEXAS BK OF AMARILLO,COMMERCIAL BANK,STATE,AMARILLO,11/5/1982 ,FDIC,22364.0,ACQUISITION,11540,13149.0,
602,2330.0,BANK OF QUITMAN,COMMERCIAL BANK,STATE,QUITMAN,11/12/1982 ,FDIC,12527.0,ACQUISITION,16318,17359.0,
603,,NORTH KANSAS SA,SAVINGS ASSOCIATION,FEDERAL/STATE,BELOIT,11/19/1982 ,FSLIC,30729.0,PAYOUT,31074,36508.0,
604,5405.0,RANCHLANDER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,MELVIN,11/19/1982 ,FDIC,3334.0,PAYOUT,4123,4305.0,
605,2331.0,BOLLINGER COUNTY BANK,COMMERCIAL BANK,STATE,LUTESVILLE,12/10/1982 ,FDIC,8287.0,ACQUISITION,14637,15867.0,
606,2332.0,THE SECURITY STATE BANK,COMMERCIAL BANK,STATE,MOORELAND,12/16/1982 ,FDIC,9874.0,ACQUISITION,10062,11554.0,
607,7502.0,VALLEY FIRST FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,EL CENTRO,1/14/1983 ,FSLIC,31620.0,TRANSFER,33698,37110.0,
608,2333.0,THE MADISON COUNTY BANK,COMMERCIAL BANK,STATE,FREDERICKTOWN,1/21/1983 ,FDIC,8593.0,ACQUISITION,6758,7000.0,
609,7503.0,MANNING S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CHICAGO,2/3/1983 ,FSLIC,30092.0,TRANSFER,60740,78654.0,
610,6409.0,STATE BANK OF BARNUM,COMMERCIAL BANK,STATE,BARNUM,2/9/1983 ,FDIC,15748.0,PAYOUT,13056,13873.0,
611,2334.0,AMERICAN STATE BANK,COMMERCIAL BANK,STATE,BRADLEY,2/12/1983 ,FDIC,22880.0,ACQUISITION,13775,14124.0,
612,2335.0,MERCHANTS & FARMERS STATE BANK,COMMERCIAL BANK,STATE,BLYTHE,2/18/1983 ,FDIC,23035.0,ACQUISITION,5685,5908.0,
613,2336.0,AMERICAN CITY BANK,COMMERCIAL BANK,STATE,LOS ANGLES,2/25/1983 ,FDIC,19020.0,ACQUISITION,293937,319354.0,
614,2337.0,NEWPORT HARBOUR NATIONAL BANK,COMMERCIAL BANK,FEDERAL,NEWPORT BEACH,3/11/1983 ,FDIC,23085.0,ACQUISITION,44035,47296.0,
615,2339.0,PAN AMERICAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,UNION CITY,3/18/1983 ,FDIC,20461.0,ACQUISITION,36307,37172.0,
616,6416.0,COLUMBIA PACIFIC BK & TR CO.,COMMERCIAL BANK,STATE,PORTLAND,3/18/1983 ,FDIC,22310.0,PAYOUT,45696,47385.0,
617,6417.0,PRAIRIE COUNTY BANK,COMMERCIAL BANK,STATE,HAZEN,3/24/1983 ,FDIC,16290.0,PAYOUT,12119,13251.0,
618,2340.0,BEAR CREEK VALLEY BANK,COMMERCIAL BANK,STATE,PHOENIX,3/25/1983 ,FDIC,23043.0,ACQUISITION,11164,13589.0,
619,2341.0,THE INA STATE BANK,COMMERCIAL BANK,STATE,INA,4/8/1983 ,FDIC,1810.0,ACQUISITION,16566,17743.0,
620,2342.0,BANK OF SAN MARINO,COMMERCIAL BANK,STATE,SAN MARINO,4/8/1983 ,FDIC,23143.0,ACQUISITION,12754,12997.0,
621,6421.0,SPARTA-SANDERS STATE BANK,COMMERCIAL BANK,STATE,SPARTA,4/15/1983 ,FDIC,15301.0,PAYOUT,18517,19033.0,
622,2344.0,FIRST NAT BK OF OAK LAWN,COMMERCIAL BANK,FEDERAL,OAK LAWN,4/29/1983 ,FDIC,18550.0,ACQUISITION,123278,130265.0,
623,2343.0,HERITAGE BANK,COMMERCIAL BANK,STATE,ASHLAND,4/29/1983 ,FDIC,22808.0,ACQUISITION,16254,18518.0,
624,2345.0,SMITH COUNTY BANK,COMMERCIAL BANK,STATE,CARTHAGE,5/6/1983 ,FDIC,1483.0,ACQUISITION,30898,32985.0,
625,2346.0,CITY & COUNTY BK OF KNOX COUNTY,COMMERCIAL BANK,STATE,KNOXVILLE,5/27/1983 ,FDIC,20494.0,ACQUISITION,250036,262474.0,
626,2348.0,UNITED AMERICAN BANK IN HAMILTON COUNTY,COMMERCIAL BANK,STATE,CHATTANOOGA,5/27/1983 ,FDIC,20332.0,ACQUISITION,125232,133834.0,
627,2349.0,CITY & COUNTY BK OF ROANE CTY,COMMERCIAL BANK,STATE,KINGSTON,5/27/1983 ,FDIC,1473.0,ACQUISITION,40420,42232.0,
628,2351.0,THE COMMERCIAL BK OF CALIFORNIA,COMMERCIAL BANK,STATE,LOS ANGELES,5/27/1983 ,FDIC,21364.0,ACQUISITION,30180,32437.0,
629,2350.0,CITY & COUNTY BK OF ANDERSON CTY,COMMERCIAL BANK,STATE,LAKE CITY,5/27/1983 ,FDIC,4925.0,ACQUISITION,133943,142875.0,
630,2347.0,UNITED SOUTHERN BK OF NASHVILLE,COMMERCIAL BANK,STATE,NASHVILLE,5/27/1983 ,FDIC,21030.0,ACQUISITION,135665,144171.0,
631,2352.0,COMMUNITY BANK,COMMERCIAL BANK,STATE,HARTFORD,6/17/1983 ,FDIC,6066.0,ACQUISITION,28291,32007.0,
632,5432.0,WESTERN NAT BK OF LOVELL,COMMERCIAL BANK,FEDERAL,LOVELL,6/24/1983 ,FDIC,19261.0,PAYOUT,23281,24804.0,
633,6433.0,MINERAL BK OF NEVADA,COMMERCIAL BANK,STATE,LAS VEGAS,6/30/1983 ,FDIC,23501.0,PAYOUT,13131,18036.0,
634,2354.0,BANK OF NIOBRARA,COMMERCIAL BANK,STATE,NIOBRARA,7/8/1983 ,FDIC,13189.0,ACQUISITION,6123,7177.0,
635,5436.0,UNION NAT BK OF CHICAGO,COMMERCIAL BANK,FEDERAL,CHICAGO,7/8/1983 ,FDIC,16946.0,TRANSFER,24360,26252.0,
636,2353.0,THE FIRST CENTRAL BANK,COMMERCIAL BANK,STATE,SMITHVILLE,7/8/1983 ,FDIC,4963.0,ACQUISITION,17851,18905.0,
637,,ANTIOCH S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,ANTIOCH,7/8/1983 ,FSLIC,31172.0,TRANSFER,52212,57936.0,
638,2355.0,FIRST PEOPLES BANK OF WASHINGTON COUNTY,COMMERCIAL BANK,STATE,JOHNSON CITY,7/29/1983 ,FDIC,8429.0,ACQUISITION,175010,177785.0,
639,2356.0,METRO BANK,COMMERCIAL BANK,STATE,MIDLAND,7/29/1983 ,FDIC,22765.0,ACQUISITION,31113,33607.0,
640,2357.0,THE FIRST NAT BK OF DANVERS,COMMERCIAL BANK,FEDERAL,DANVERS,8/5/1983 ,FDIC,3643.0,ACQUISITION,11659,12525.0,
641,2358.0,FIRST COMMERCE BK OF HAWKINS CTY,COMMERCIAL BANK,STATE,ROGERSVILLE,8/12/1983 ,FDIC,17815.0,ACQUISITION,44920,43097.0,
642,2359.0,UNITED SOUTHERN BANK OF CLARKSVILLE,COMMERCIAL BANK,STATE,CLARKSVILLE,8/26/1983 ,FDIC,22577.0,ACQUISITION,11494,9943.0,
643,2360.0,THE DOUGLASS STATE BANK,COMMERCIAL BANK,STATE,KANSAS CITY,9/2/1983 ,FDIC,16614.0,ACQUISITION,31156,35385.0,
644,2361.0,WARREN COUNTY BANK,COMMERCIAL BANK,STATE,MCMINNIVILLE,9/16/1983 ,FDIC,20736.0,ACQUISITION,18728,19639.0,
645,2363.0,NATIONAL BK OF ODESSA,COMMERCIAL BANK,FEDERAL,ODESSA,9/30/1983 ,FDIC,17957.0,ACQUISITION,100531,92878.0,
646,2362.0,DOMINION BK OF DENVER,COMMERCIAL BANK,STATE,DENVER,9/30/1983 ,FDIC,19609.0,ACQUISITION,13724,16709.0,
647,2364.0,THE DESCHUTES BANK,COMMERCIAL BANK,STATE,REDMOND,10/7/1983 ,FDIC,22807.0,ACQUISITION,10021,10207.0,
648,2365.0,THE FIRST NAT BK OF MIDLAND,COMMERCIAL BANK,FEDERAL,MIDLAND,10/14/1983 ,FDIC,3343.0,ACQUISITION,780076,1409639.0,
649,,CLEVELAND COMMUNITY SAVINGS CO.,SAVINGS ASSOCIATION,FEDERAL/STATE,CLEVELAND,10/28/1983 ,FSLIC,30642.0,TRANSFER,17336,21027.0,
650,7506.0,"STATE OF CLOVIS, SA",SAVINGS ASSOCIATION,FEDERAL/STATE,CLOVIS,11/3/1983 ,FSLIC,31281.0,TRANSFER,30147,30904.0,
651,5448.0,FIRST NAT BK OF BROWNING,COMMERCIAL BANK,FEDERAL,BROWNING,11/11/1983 ,FDIC,2166.0,PAYOUT,13366,13703.0,
652,6449.0,ATKINSON TRUST & SAVINGS BANK,COMMERCIAL BANK,STATE,ATKINSON,11/25/1983 ,FDIC,11692.0,TRANSFER,18511,21074.0,
653,7507.0,METRO FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LAKE CHARLES,12/2/1983 ,FSLIC,31114.0,TRANSFER,18509,27381.0,
654,2367.0,BANK OF HACKLEBURG,COMMERCIAL BANK,STATE,HACKLEBURG,12/13/1983 ,FDIC,1731.0,ACQUISITION,6421,6531.0,
655,2368.0,THE BANK OF RED OAK,COMMERCIAL BANK,STATE,RED OAK,12/16/1983 ,FDIC,431.0,ACQUISITION,10489,11135.0,
656,2369.0,FARMERS BK & TR CO.,COMMERCIAL BANK,STATE,WINCHESTER,1/6/1984 ,FDIC,4971.0,ACQUISITION,48269,48606.0,
657,2370.0,CITY & COUNTY BK OF JEFFERSON CT,COMMERCIAL BANK,STATE,WHITE PINE,1/20/1984 ,FDIC,9960.0,ACQUISITION,22775,21712.0,
658,,UNION MUTUAL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,RICHMOND,1/27/1984 ,FSLIC,31584.0,TRANSFER,7945,8641.0,
659,6455.0,INDIAN SPRINGS STATE BANK,COMMERCIAL BANK,STATE,KANSAS CITY,1/27/1984 ,FDIC,20567.0,TRANSFER,27345,30896.0,
660,2372.0,THE TUCKER COUNTY BANK,COMMERCIAL BANK,STATE,PARSONS,2/3/1984 ,FDIC,843.0,ACQUISITION,14785,15437.0,
661,2371.0,EMERALD EMPIRE BANKING CO.,COMMERCIAL BANK,STATE,SPRINGFIELD,2/3/1984 ,FDIC,22929.0,ACQUISITION,21331,22278.0,
662,2373.0,HERITAGE BANK OF BUREAU COUNTY,COMMERCIAL BANK,STATE,DEPUE,2/8/1984 ,FDIC,10466.0,ACQUISITION,7846,8706.0,
663,2374.0,WEST OLYMPIA BANK,COMMERCIAL BANK,STATE,LOS ANGELES,2/10/1984 ,FDIC,19282.0,ACQUISITION,19916,20411.0,
664,2375.0,BROWNFIELD STATE BK & TR CO.,COMMERCIAL BANK,STATE,BROWNFIELD,2/17/1984 ,FDIC,1177.0,ACQUISITION,37585,38854.0,
665,2377.0,ALL AMERICAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,VIRGINA GARDENS,3/2/1984 ,FDIC,22922.0,ACQUISITION,12033,13855.0,
666,2376.0,UNITED BANK OF OREGON,COMMERCIAL BANK,STATE,MILWAUKIE,3/2/1984 ,FDIC,22784.0,ACQUISITION,16056,17258.0,
667,2378.0,NATIONAL BANK AND TRUST COMPANY OF TRAVERS,COMMERCIAL BANK,FEDERAL,TRAVERSE CITY,3/9/1984 ,FDIC,14598.0,ACQUISITION,97825,103968.0,
668,7508.0,EMPIRE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MESQUITE,3/14/1984 ,FSLIC,31716.0,PAYOUT,303451,332512.0,
669,6465.0,HERITAGE BANK,COMMERCIAL BANK,STATE,ANAHEIM,3/16/1984 ,FDIC,22093.0,PAYOUT,180425,186068.0,
670,5464.0,SEMINOLE STATE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SEMINOLE,3/16/1984 ,FDIC,15783.0,TRANSFER,48364,51131.0,
671,,AMERICAN S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BILOXI,4/3/1984 ,FSLIC,31836.0,TRANSFER,15631,9444.0,
672,2380.0,WATAUGA VALLEY BANK,COMMERCIAL BANK,STATE,ELIZABETHTON,4/6/1984 ,FDIC,22210.0,ACQUISITION,14880,15393.0,
673,2379.0,FIRST SECURITY BANK,COMMERCIAL BANK,STATE,ERWIN,4/6/1984 ,FDIC,20227.0,ACQUISITION,21289,22457.0,
674,5468.0,SECURITY NATIONAL BK OF LUBBOCK,COMMERCIAL BANK,FEDERAL,LUBBOCK,4/13/1984 ,FDIC,18961.0,TRANSFER,49854,51404.0,
675,2381.0,THE SHELBY NAT BK OF SHELBYVILLE,COMMERCIAL BANK,FEDERAL,SHELBYVILLE,4/19/1984 ,FDIC,4380.0,ACQUISITION,65542,67778.0,
676,6469.0,GAMALIEL BANK,COMMERCIAL BANK,STATE,GAMALIEL,4/19/1984 ,FDIC,9312.0,TRANSFER,21509,22773.0,
677,6471.0,UNITED OF AMERICA BANK,COMMERCIAL BANK,STATE,CHICAGO,4/26/1984 ,FDIC,18527.0,TRANSFER,36913,38145.0,
678,6473.0,WEST COAST BANK,COMMERCIAL BANK,STATE,LOS ANGELES,4/27/1984 ,FDIC,22744.0,PAYOUT,189986,198210.0,
679,2382.0,CITIZENS BK OF MONROE COUNTY,COMMERCIAL BANK,STATE,TELICO PLAINS,4/27/1984 ,FDIC,1472.0,ACQUISITION,20643,21099.0,
680,2383.0,WESTERN NATIONAL BK OF CASPER,COMMERCIAL BANK,FEDERAL,CASPER,5/4/1984 ,FDIC,19091.0,ACQUISITION,23329,27373.0,
681,2384.0,STATE BANK OF MILLS,COMMERCIAL BANK,STATE,MILLS,5/4/1984 ,FDIC,22861.0,ACQUISITION,6424,7240.0,
682,2385.0,THE FIRST NAT BK OF RUSHFORD,COMMERCIAL BANK,FEDERAL,RUSHFORD,5/4/1984 ,FDIC,5239.0,ACQUISITION,21360,21991.0,
683,5476.0,FIRST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SNYDER,5/4/1984 ,FDIC,23335.0,TRANSFER,22169,23518.0,
684,5478.0,THE NAT BK OF CARMEL,COMMERCIAL BANK,FEDERAL,CARMEL-BY-THE-SEA,5/8/1984 ,FDIC,23358.0,TRANSFER,68381,76185.0,
685,6479.0,FIRST CONTINENTAL BANK & TRUST COMPANY OF,COMMERCIAL BANK,STATE,DEL CITY,5/11/1984 ,FDIC,18112.0,TRANSFER,104028,107237.0,
686,2386.0,THE MISSISSIPPI BANK,COMMERCIAL BANK,STATE,JACKSON,5/11/1984 ,FDIC,17036.0,ACQUISITION,182956,238037.0,
687,2387.0,BLEDSOE COUNTY BANK,COMMERCIAL BANK,STATE,PIKEVILLE,5/18/1984 ,FDIC,21891.0,ACQUISITION,5402,5272.0,
688,2388.0,PLANTERS TRUST & SAVINGS BANK OF OPELOUSAS,COMMERCIAL BANK,STATE,OPELOUSAS,5/18/1984 ,FDIC,11791.0,ACQUISITION,66396,71427.0,
689,2389.0,BANK OF IRVINE,COMMERCIAL BANK,STATE,IRVINE,5/18/1984 ,FDIC,21410.0,ACQUISITION,29401,30992.0,
690,2390.0,WASHINGTON NAT BK OF CHICAGO,COMMERCIAL BANK,FEDERAL,CHICAGO,5/18/1984 ,FDIC,22568.0,ACQUISITION,13809,14077.0,
691,2391.0,FIRST NAT BK OF PRIOR LAKE,COMMERCIAL BANK,FEDERAL,PRIOR LAKE,5/24/1984 ,FDIC,24098.0,ACQUISITION,11494,12231.0,
692,2392.0,GARDEN GROVE COMMUNITY BANK,COMMERCIAL BANK,STATE,GARDEN GROVE,6/1/1984 ,FDIC,22848.0,ACQUISITION,41127,43892.0,
693,2393.0,CHEROKEE COUNTY BANK,COMMERCIAL BANK,STATE,CENTRE,6/5/1984 ,FDIC,9054.0,ACQUISITION,37588,39391.0,
694,6488.0,STEWARDSHIP BANK OF OREGON,COMMERCIAL BANK,STATE,PORTLAND,6/8/1984 ,FDIC,23362.0,PAYOUT,5843,6314.0,
695,2394.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,LYONS,6/15/1984 ,FDIC,9009.0,ACQUISITION,2984,3231.0,
696,2396.0,THE CORNING BANK,COMMERCIAL BANK,STATE,CORNING,6/15/1984 ,FDIC,5631.0,ACQUISITION,30570,32030.0,
697,2395.0,THE LAWRENCE COUNTY BANK,COMMERCIAL BANK,STATE,LAWRENCEBURG,6/15/1984 ,FDIC,20188.0,ACQUISITION,24521,25155.0,
698,6492.0,REPUBLIC BK OF KANSAS CITY,COMMERCIAL BANK,STATE,KANSAS CITY,6/18/1984 ,FDIC,12213.0,TRANSFER,38328,41326.0,
699,2397.0,THE FARMERS NAT BK OF AURELIA,COMMERCIAL BANK,FEDERAL,AURELIA,6/21/1984 ,FDIC,4424.0,ACQUISITION,19142,19900.0,
700,6494.0,AMERICAN BANK,COMMERCIAL BANK,STATE,SAINT JOSEPH,6/27/1984 ,FDIC,9175.0,TRANSFER,29811,32993.0,
701,2398.0,EAST TEXAS BK & TR CO.,COMMERCIAL BANK,STATE,LONGVIEW,6/29/1984 ,FDIC,16654.0,ACQUISITION,97121,106092.0,
702,2399.0,THE COFFEEN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,COFFEEN,7/12/1984 ,FDIC,3782.0,ACQUISITION,9374,9359.0,
703,2400.0,THE GUARANTY BK OF SAINT PAUL,COMMERCIAL BANK,STATE,ST. PAUL,7/19/1984 ,FDIC,18510.0,ACQUISITION,27461,28619.0,
704,2401.0,COALMONT SAVINGS BANK,COMMERCIAL BANK,STATE,COALMONT,7/24/1984 ,FDIC,10699.0,ACQUISITION,24039,25716.0,
705,2403.0,JACKSON COUNTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,TUCKERMAN,8/9/1984 ,FDIC,3895.0,ACQUISITION,12941,13254.0,
706,2405.0,THE TINGLEY STATE SAVINGS BANK,COMMERCIAL BANK,STATE,MOUNT AYR,8/10/1984 ,FDIC,14796.0,ACQUISITION,18478,19404.0,
707,2404.0,PEOPLES STATE BANK OF CLAY COUNTY,COMMERCIAL BANK,STATE,POLAND,8/10/1984 ,FDIC,10480.0,ACQUISITION,17106,17724.0,
708,2406.0,AMERICAN NAT BK IN MCLEAN,COMMERCIAL BANK,FEDERAL,MCLEAN,8/16/1984 ,FDIC,14422.0,ACQUISITION,13408,14271.0,
709,2408.0,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,THAYER,8/22/1984 ,FDIC,4780.0,ACQUISITION,11224,12163.0,
710,6505.0,HEREFORD STATE BANK,COMMERCIAL BANK,STATE,HEREFORD,8/24/1984 ,FDIC,9219.0,PAYOUT,2476,2707.0,
711,2412.0,BANK OF THE NORTHWEST,COMMERCIAL BANK,STATE,EUGENE,8/31/1984 ,FDIC,22485.0,ACQUISITION,19793,21780.0,
712,2413.0,DAVID CITY BANK,COMMERCIAL BANK,STATE,DAVID CITY,9/6/1984 ,FDIC,13256.0,ACQUISITION,18801,21321.0,
713,2414.0,OAKLAND SAVINGS BANK,COMMERCIAL BANK,STATE,OAKLAND,9/7/1984 ,FDIC,233.0,ACQUISITION,19921,22101.0,
714,2415.0,COMMUNITY BK & TR CO.,COMMERCIAL BANK,STATE,ENID,9/14/1984 ,FDIC,19119.0,ACQUISITION,28002,32236.0,
715,2416.0,BANK OF VERDIGRE & TRUST COMPANY,COMMERCIAL BANK,STATE,VERDIGRE,9/19/1984 ,FDIC,16531.0,ACQUISITION,12729,13356.0,
716,2417.0,CENTURY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,JACKSONVILLE,9/20/1984 ,FDIC,22369.0,ACQUISITION,13267,13207.0,
717,2418.0,SECURITY STATE BANK,COMMERCIAL BANK,STATE,WEATHERFORD,9/21/1984 ,FDIC,2304.0,ACQUISITION,48462,50126.0,
718,2420.0,THE FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,TECUMSEH,10/5/1984 ,FDIC,9883.0,ACQUISITION,30968,31139.0,
719,2421.0,THE REXFORD STATE BANK,COMMERCIAL BANK,STATE,REXFORD,10/10/1984 ,FDIC,12867.0,ACQUISITION,5294,5770.0,
720,2423.0,BUCKLIN STATE BANK OF BUCKLIN,COMMERCIAL BANK,STATE,BUCKLIN,10/12/1984 ,FDIC,11008.0,ACQUISITION,15265,16133.0,
721,2422.0,ONEIDA BK & TR CO.,COMMERCIAL BANK,STATE,ONEIDA,10/12/1984 ,FDIC,16991.0,ACQUISITION,5445,6292.0,
722,2424.0,AMERICAN STATE BANK,COMMERCIAL BANK,STATE,THOMAS,10/19/1984 ,FDIC,8985.0,ACQUISITION,22195,23869.0,
723,2427.0,STATE BANK OF BOYD,COMMERCIAL BANK,STATE,BOYD,10/24/1984 ,FDIC,16646.0,ACQUISITION,6221,7117.0,
724,2425.0,THE BANK OF CODY,COMMERCIAL BANK,STATE,CODY,10/24/1984 ,FDIC,1994.0,ACQUISITION,9380,10277.0,
725,2426.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,KILGORE,10/24/1984 ,FDIC,8342.0,ACQUISITION,5538,6082.0,
726,2428.0,THE FIRST NAT BK OF GAYLORD,COMMERCIAL BANK,FEDERAL,GAYLORD,10/25/1984 ,FDIC,4671.0,ACQUISITION,6074,6426.0,
727,2429.0,FIRST AMERICAN BANKING COMPANY,COMMERCIAL BANK,STATE,PENDLETON,11/16/1984 ,FDIC,21016.0,ACQUISITION,15269,18630.0,
728,,SAVANNAH FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAVANNAH,11/16/1984 ,FSLIC,31883.0,TRANSFER,14507,19343.0,
729,2430.0,THE STRONG CITY STATE BANK,COMMERCIAL BANK,STATE,STRONG CITY,11/29/1984 ,FDIC,12429.0,ACQUISITION,4746,5026.0,
730,6524.0,THE DAYTON BK & TR CO.,COMMERCIAL BANK,STATE,DAYTON,11/30/1984 ,FDIC,2378.0,TRANSFER,50035,51433.0,
731,2431.0,GOLDEN SPIKE STATE BANK,COMMERCIAL BANK,STATE,TREMONTON,12/4/1984 ,FDIC,22999.0,ACQUISITION,7269,7788.0,
732,2432.0,FARMERS STATE BK OF HOLYOKE,COMMERCIAL BANK,STATE,HOLYOKE,12/7/1984 ,FDIC,18946.0,ACQUISITION,3578,3901.0,
733,7514.0,SAN MARINO S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN MARINO,12/7/1984 ,FSLIC,31987.0,TRANSFER,212229,856806.0,
734,2433.0,UNIVERSITY BANK OF WICHITA,COMMERCIAL BANK,STATE,WICHITA,12/11/1984 ,FDIC,21505.0,ACQUISITION,4474,4700.0,
735,6528.0,UEHLING STATE BANK,COMMERCIAL BANK,STATE,UEHLING,12/18/1984 ,FDIC,20978.0,TRANSFER,3713,4224.0,
736,2434.0,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,SELDEN,12/20/1984 ,FDIC,17700.0,ACQUISITION,13697,14578.0,
737,2435.0,FIRST SECURITY BANK,COMMERCIAL BANK,STATE,SANDWICH,12/22/1984 ,FDIC,22160.0,ACQUISITION,12101,13422.0,
738,6531.0,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,EDGERTON,1/4/1985 ,FDIC,22433.0,PAYOUT,2563,2907.0,
739,6532.0,STATE BANK OF DANNEBROG,COMMERCIAL BANK,STATE,DANNEBROG,1/7/1985 ,FDIC,18751.0,PAYOUT,4350,4870.0,
740,2436.0,COAST COMMUNITY BANK,COMMERCIAL BANK,STATE,HARBOR,1/11/1985 ,FDIC,22757.0,ACQUISITION,8473,9123.0,
741,2438.0,FIRST NATIONAL BANK IN CLARKSVILLE,COMMERCIAL BANK,FEDERAL,CLARKSVILLE,1/24/1985 ,FDIC,13812.0,ACQUISITION,33390,34955.0,
742,2437.0,THE FIRST NATIONAL BANK IN MARLOW,COMMERCIAL BANK,FEDERAL,MARLOW,1/24/1985 ,FDIC,4141.0,ACQUISITION,27006,27447.0,
743,2439.0,THE STEELE STATE BANK,COMMERCIAL BANK,STATE,CHEROKEE,1/25/1985 ,FDIC,17833.0,ACQUISITION,20586,21891.0,
744,2440.0,CITIZENS FIDELITY BANK,COMMERCIAL BANK,STATE,BRISTOL,2/1/1985 ,FDIC,22822.0,ACQUISITION,17599,18223.0,
745,2441.0,FIRST NATIONAL BANK OF WOODBINE,COMMERCIAL BANK,FEDERAL,WOODBINE,2/7/1985 ,FDIC,4523.0,ACQUISITION,25800,25782.0,
746,2442.0,FARMERS NATIONAL BANK OF ERICK,COMMERCIAL BANK,FEDERAL,ERICK,2/7/1985 ,FDIC,4093.0,ACQUISITION,17340,16845.0,
747,2443.0,WEST VALLEY BANK,COMMERCIAL BANK,STATE,WOODLAND HILLS,2/8/1985 ,FDIC,22673.0,ACQUISITION,43364,48262.0,
748,6540.0,PEOPLES BANK & TRUST CO.,COMMERCIAL BANK,STATE,WARTBURG,2/8/1985 ,FDIC,2393.0,TRANSFER,23107,24408.0,
749,2444.0,FIRST NATIONAL BANK OF EADS,COMMERCIAL BANK,FEDERAL,EADS,2/14/1985 ,FDIC,14563.0,ACQUISITION,16718,17547.0,
750,6543.0,CITIZENS STATE BANK OF FULDA,COMMERCIAL BANK,STATE,FULDA,2/15/1985 ,FDIC,10997.0,TRANSFER,36355,39376.0,
751,2445.0,INWOOD STATE BANK,COMMERCIAL BANK,STATE,INWOOD,2/19/1985 ,FDIC,16248.0,ACQUISITION,7648,8147.0,
752,2446.0,HALIFAX NATIONAL BANK OF PORT ORANGE,COMMERCIAL BANK,FEDERAL,PORT ORANGE,3/1/1985 ,FDIC,19064.0,ACQUISITION,35745,38584.0,
753,2447.0,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,ARAPAHOE,3/8/1985 ,FDIC,8345.0,ACQUISITION,15644,16932.0,
754,7515.0,WESTERN COMMUNITY S&L,SAVINGS ASSOCIATION,FEDERAL/STATE,EL CERRITO,3/8/1985 ,FSLIC,32171.0,TRANSFER,7606,110589.0,
755,2448.0,COMMERCIAL STATE BANK,COMMERCIAL BANK,STATE,AFTON,3/8/1985 ,FDIC,949.0,ACQUISITION,15561,16260.0,
756,2449.0,TAYLOR STATE BANK,COMMERCIAL BANK,STATE,EMINGTON,3/15/1985 ,FDIC,10811.0,ACQUISITION,4840,4980.0,
757,2450.0,GOLDEN VALLEY BANK,COMMERCIAL BANK,STATE,TURLOCK,3/25/1985 ,FDIC,22387.0,ACQUISITION,79818,82236.0,
758,2451.0,FIDELITY BANK OF DENVER,COMMERCIAL BANK,STATE,DENVER,3/29/1985 ,FDIC,23408.0,ACQUISITION,48789,54700.0,
759,2452.0,BANK OF HUNTER,COMMERCIAL BANK,STATE,HUNTER,4/4/1985 ,FDIC,2336.0,ACQUISITION,3109,3001.0,
760,2453.0,CAPISTRANO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN JUAN CAPISTRA,4/5/1985 ,FDIC,22159.0,ACQUISITION,56664,58224.0,
761,6553.0,STATE BANK OF ALEXANDRIA,COMMERCIAL BANK,STATE,ALEXANDRIA,4/10/1985 ,FDIC,17466.0,PAYOUT,2413,2545.0,
762,2455.0,SOUTH COAST BANK,COMMERCIAL BANK,STATE,COSTA MESA,4/12/1985 ,FDIC,21984.0,ACQUISITION,29483,31304.0,
763,7516.0,STATE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SALT LAKE CITY,4/12/1985 ,FSLIC,28447.0,TRANSFER,417950,639002.0,
764,2454.0,FIRST STATE BANK OF ELGIN,COMMERCIAL BANK,STATE,ELGIN,4/12/1985 ,FDIC,16255.0,ACQUISITION,15775,18169.0,
