,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2060,7297.0,CLYDE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NORTH RIVERSIDE,2/2/1990 ,RTC,29470.0,ACQUISITION,563728,574684.0,54302.0
2061,7102.0,"CENTRUST BANK, SB",SAVINGS ASSOCIATION,FEDERAL/STATE,MIAMI,2/2/1990 ,RTC,29000.0,ACQUISITION,5894019,8217563.0,672161.0
2062,7233.0,HENDERSON HOME S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,HENDERSON,2/2/1990 ,RTC,27915.0,ACQUISITION,49827,50377.0,2232.0
2063,7073.0,SENTINEL FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PHOENIX,2/2/1990 ,RTC,32261.0,TRANSFER,170574,174915.0,39326.0
2064,4150.0,THE FIRST NATIONAL BANK OF COLBERT,COMMERCIAL BANK,FEDERAL,COLBERT,2/8/1990 ,BIF,4237.0,TRANSFER,16539,17910.0,3897.0
2065,7273.0,AMERICAN FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,DES MOINES,2/9/1990 ,RTC,29728.0,ACQUISITION,817908,910668.0,23524.0
2066,7338.0,VERMONT SA,SAVINGS ASSOCIATION,FEDERAL/STATE,TIMONIUM,2/9/1990 ,RTC,29840.0,ACQUISITION,254328,334886.0,41859.0
2067,7280.0,"ABQ BANK, A FSB",SAVINGS BANK,STATE,ALBUQUERQUE,2/9/1990 ,RTC,29127.0,ACQUISITION,1467840,2018703.0,434134.0
2068,7264.0,LIBERTY SAVINGS BANK FSB,SAVINGS BANK,STATE,RANDALLSTOWN,2/9/1990 ,RTC,32515.0,TRANSFER,41961,49481.0,15321.0
2069,7099.0,HUNTINGTON FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,HUNTINGTON BEACH,2/9/1990 ,RTC,32094.0,ACQUISITION,120234,120438.0,13327.0
2070,7163.0,FAIRMONT FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,FAIRMONT,2/9/1990 ,RTC,28205.0,ACQUISITION,46392,45966.0,1304.0
2071,4153.0,GATEWAY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,PHOENIX,2/15/1990 ,BIF,26667.0,ACQUISITION,8209,8598.0,5864.0
2072,4151.0,HUFFMAN BANK,COMMERCIAL BANK,STATE,HUFFMAN,2/15/1990 ,BIF,21436.0,ACQUISITION,21660,22019.0,2835.0
2073,4152.0,NORTHWAY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,DALLAS,2/15/1990 ,BIF,23452.0,ACQUISITION,23917,19138.0,8427.0
2074,7411.0,STATE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,TULSA,2/16/1990 ,RTC,28247.0,ACQUISITION,358341,526339.0,82645.0
2075,7142.0,FIDELITY SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,DANVILLE,2/16/1990 ,RTC,28829.0,ACQUISITION,16462,16317.0,1080.0
2076,7235.0,HERITAGE FSB,SAVINGS BANK,STATE,OMAHA,2/16/1990 ,RTC,29318.0,ACQUISITION,175737,225004.0,16463.0
2077,7182.0,GREAT AMERICAN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,OAK PARK,2/16/1990 ,RTC,28911.0,ACQUISITION,736370,1013231.0,10483.0
2078,1285.0,FRANKLIN FSA,SAVINGS ASSOCIATION,FEDERAL/STATE,OTTAWA,2/16/1990 ,RTC,30311.0,ACQUISITION,4638598,9258163.0,38167.0
2079,7156.0,WESTERN EMPIRE FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,YORBA LINDA,2/16/1990 ,RTC,32101.0,TRANSFER,318451,406574.0,26502.0
2080,7397.0,FREEDOM SA,SAVINGS ASSOCIATION,FEDERAL/STATE,COLUMBUS,2/16/1990 ,RTC,27850.0,ACQUISITION,311944,360378.0,42722.0
2081,7081.0,"EQUITABLE S & LA, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,COLUMBUS,2/16/1990 ,RTC,31320.0,ACQUISITION,63656,73176.0,3854.0
2082,7166.0,THE BEN FRANKLIN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PORTLAND,2/21/1990 ,RTC,28220.0,ACQUISITION,3222248,4616850.0,133.0
2083,4154.0,THE FIRST STATE BANK OF REGENT,COMMERCIAL BANK,STATE,REGENT,2/22/1990 ,BIF,8949.0,ACQUISITION,9526,9717.0,2857.0
2084,7379.0,TEXASBANC SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,CONROE,2/23/1990 ,RTC,31660.0,TRANSFER,385722,248839.0,325899.0
2085,4155.0,THE RED RIVER BANK,COMMERCIAL BANK,STATE,RED RIVER,2/23/1990 ,BIF,24752.0,ACQUISITION,6550,6530.0,2131.0
2086,4156.0,THE BANK OF RUIDOSO,COMMERCIAL BANK,STATE,RUIDOSO,2/23/1990 ,BIF,20150.0,ACQUISITION,26459,27843.0,12672.0
2087,7208.0,COMMUNITY FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,EAST MOLINE,2/23/1990 ,RTC,31073.0,ACQUISITION,114164,112025.0,2986.0
2088,7299.0,GREENWOOD FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,GREENWOOD,2/23/1990 ,RTC,30854.0,TRANSFER,25564,26663.0,4457.0
2089,7187.0,MERCURY SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,HUNTINGTON BEACH,2/23/1990 ,RTC,31273.0,ACQUISITION,1794178,2158830.0,15683.0
2090,7409.0,NOWLIN SA,SAVINGS ASSOCIATION,FEDERAL/STATE,FT. WORTH,2/23/1990 ,RTC,31801.0,ACQUISITION,195537,200506.0,58132.0
2091,7285.0,IMPERIAL FEDERAL SAVINGS ASSOC.,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN DIEGO,2/23/1990 ,RTC,28517.0,ACQUISITION,6615722,9581584.0,203148.0
2092,7140.0,PROVIDENT SA,SAVINGS ASSOCIATION,FEDERAL/STATE,CASPER,2/23/1990 ,RTC,28311.0,ACQUISITION,200294,244946.0,16238.0
2093,7211.0,FIRST FEDERAL SAV. ASSOC./BLUEFIELD,SAVINGS ASSOCIATION,FEDERAL/STATE,BLUEFIELD,2/23/1990 ,RTC,28176.0,ACQUISITION,33226,39261.0,2579.0
2094,7345.0,VANGUARD SB,SAVINGS BANK,STATE,VANDERGRIEF,2/23/1990 ,RTC,29451.0,ACQUISITION,150691,176858.0,25809.0
2095,7442.0,FIRST ATLANTIC S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,PLAINFIELD,2/23/1990 ,RTC,27739.0,ACQUISITION,1009768,1296682.0,233531.0
